Drug Name,Manufacturer,Dosage Form,Strength,Package Size,Units Sold,Revenue,Sale Date,Region,Sales Representative,Customer Type
Drug B,Company W,Tablet,100 mg/ml,50 g,1500,$43833,07-02-2024,South America,Susan Hernandez,Clinics
Drug B,Company X,Cream,500 mg,100 ml,1194,$48717,08-08-2023,South America,Jackie Wagner,Clinics
Drug E,Company X,Capsule,50 mg,60,618,$8744,15-06-2024,Africa,Mariah Mccoy,Hospitals
Drug E,Company X,Injection,10 mg,100 ml,1455,$25321,15-07-2024,Asia,Courtney Doyle,Pharmacy
Drug C,Company V,Tablet,100 mg/ml,50 g,130,$13669,13-08-2023,South America,Dawn Torres,Clinics
Drug B,Company V,Capsule,100 mg/ml,10 ml,619,$7552,05-12-2023,Europe,Jessica Faulkner,Hospitals
Drug C,Company X,Cream,500 mg,30,1779,$48563,08-08-2023,North America,Alicia Howard,Hospitals
Drug B,Company X,Tablet,500 mg,10 ml,1727,$13672,30-12-2023,Asia,David Hill,Online Pharmacy
Drug A,Company V,Capsule,500 mg,50 g,451,$45835,14-11-2023,Asia,Matthew Johnson,Supermarkets
Drug C,Company X,Cream,10 mg,10 ml,1006,$31716,23-05-2024,Asia,Kimberly Murphy,Supermarkets
Drug C,Company Y,Capsule,50 mg,100 ml,1633,$33931,18-05-2024,Europe,Tyler Brown,Pharmacy
Drug A,Company Z,Cream,50 mg,30,128,$35258,08-11-2023,North America,Sheila Coleman,Online Pharmacy
Drug C,Company V,Injection,500 mg,10 ml,504,$36459,19-08-2023,Europe,Douglas Rodriguez,Pharmacy
Drug E,Company V,Cream,500 mg,100 ml,216,$32152,08-07-2024,Europe,Brandi King,Pharmacy
Drug E,Company V,Injection,10 mg,10 ml,1986,$13538,03-12-2023,Europe,Susan Brewer,Pharmacy
Drug A,Company W,Cream,50 mg,30,1977,$9566,13-07-2024,Africa,Latoya Wright,Online Pharmacy
Drug A,Company V,Tablet,100 mg/ml,50 g,1320,$29932,22-08-2023,North America,Richard Edwards,Clinics
Drug E,Company W,Cream,10 mg,30,1766,$45608,27-02-2024,South America,Mr. Michael Taylor,Pharmacy
Drug B,Company X,Syrup,100 mg/ml,60,1078,$42394,12-01-2024,South America,Angela Castro,Online Pharmacy
Drug C,Company X,Injection,500 mg,60,783,$48016,24-01-2024,Asia,Christie Brown,Clinics
Drug E,Company X,Capsule,100 mg/ml,60,1161,$11048,08-01-2024,Europe,Annette Fisher,Clinics
